League,Date,Home,Away,Gols_H,Gols_A,Total_Gols,BTTS,Over_25,FTR,Placar
Jupiler League,2024-07-26,Club Brugge,Mechelen,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Jupiler League,2024-07-27,Anderlecht,St Truiden,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Jupiler League,2024-07-27,Beerschot VA,Oud-Heverlee Leuven,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Jupiler League,2024-07-27,Dender,St. Gilloise,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Jupiler League,2024-07-28,Westerlo,Cercle Brugge,3.0,0.0,3.0,0,1,H,3.0 x 0.0
Jupiler League,2024-07-28,Charleroi,Antwerp,0.0,1.0,1.0,0,0,A,0.0 x 1.0
Jupiler League,2024-07-28,Kortrijk,Gent,0.0,1.0,1.0,0,0,A,0.0 x 1.0
Jupiler League,2024-07-28,Genk,Standard,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Bundesliga 2,2024-08-02,FC Koln,Hamburg,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Jupiler League,2024-08-02,St. Gilloise,Beerschot VA,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Championship,2024-08-02,Falkirk,Queens Park,2.0,1.0,3.0,1,1,H,2.0 x 1.0
League One,2024-08-03,Stenhousemuir,Arbroath,2.0,1.0,3.0,1,1,H,2.0 x 1.0
Jupiler League,2024-08-03,Oud-Heverlee Leuven,Genk,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Jupiler League,2024-08-03,Mechelen,Westerlo,2.0,4.0,6.0,1,1,A,2.0 x 4.0
Bundesliga 2,2024-08-03,Schalke 04,Braunschweig,5.0,1.0,6.0,1,1,H,5.0 x 1.0
Bundesliga 2,2024-08-03,Magdeburg,Elversberg,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Bundesliga 2,2024-08-03,Karlsruhe,Nurnberg,3.0,2.0,5.0,1,1,H,3.0 x 2.0
Bundesliga 2,2024-08-03,Hertha,Paderborn,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Bundesliga 2,2024-08-03,Hannover,Regensburg,2.0,0.0,2.0,0,0,H,2.0 x 0.0
League One,2024-08-03,Montrose,Kelty Hearts,1.0,1.0,2.0,1,0,D,1.0 x 1.0
League One,2024-08-03,Inverness C,Dumbarton,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Jupiler League,2024-08-03,St Truiden,Charleroi,1.0,4.0,5.0,1,1,A,1.0 x 4.0
League One,2024-08-03,Alloa,Queen of Sth,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Premiership,2024-08-03,Hearts,Rangers,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Championship,2024-08-03,Airdrie Utd,Raith Rvs,1.0,0.0,1.0,0,0,H,1.0 x 0.0
League One,2024-08-03,Cove Rangers,Annan Athletic,1.0,3.0,4.0,1,1,A,1.0 x 3.0
Premiership,2024-08-03,Motherwell,Ross County,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Championship,2024-08-03,Hamilton,Ayr,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Championship,2024-08-03,Livingston,Dunfermline,2.0,0.0,2.0,0,0,H,2.0 x 0.0
Championship,2024-08-03,Partick,Morton,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Bundesliga 2,2024-08-04,Darmstadt,Fortuna Dusseldorf,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Jupiler League,2024-08-04,Gent,Dender,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Premiership,2024-08-04,Celtic,Kilmarnock,4.0,0.0,4.0,0,1,H,4.0 x 0.0
Premiership,2024-08-04,St Mirren,Hibernian,3.0,0.0,3.0,0,1,H,3.0 x 0.0
Premiership,2024-08-04,Dundee United,Dundee,2.0,2.0,4.0,1,1,D,2.0 x 2.0
Jupiler League,2024-08-04,Antwerp,Anderlecht,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Jupiler League,2024-08-04,Cercle Brugge,Kortrijk,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Jupiler League,2024-08-04,Standard,Club Brugge,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Bundesliga 2,2024-08-04,Greuther Furth,Preußen Münster,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Bundesliga 2,2024-08-04,Ulm,Kaiserslautern,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Premiership,2024-08-05,St Johnstone,Aberdeen,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Championship,2024-08-09,Ayr,Airdrie Utd,5.0,0.0,5.0,0,1,H,5.0 x 0.0
Championship,2024-08-09,Queens Park,Livingston,1.0,1.0,2.0,1,0,D,1.0 x 1.0
EFL Championship,2024-08-09,Preston,Sheffield United,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Bundesliga 2,2024-08-09,Regensburg,Ulm,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Jupiler League,2024-08-09,Standard,Mechelen,0.0,0.0,0.0,0,0,D,0.0 x 0.0
EFL Championship,2024-08-09,Blackburn,Derby,4.0,2.0,6.0,1,1,H,4.0 x 2.0
EFL League Two,2024-08-09,Chesterfield,Swindon,1.0,1.0,2.0,1,0,D,1.0 x 1.0
EFL League One,2024-08-09,Barnsley,Mansfield,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Eredivisie,2024-08-09,Groningen,NAC Breda,4.0,1.0,5.0,1,1,H,4.0 x 1.0
Super Lig,2024-08-09,Galatasaray,Hatayspor,2.0,1.0,3.0,1,1,H,2.0 x 1.0
Bundesliga 2,2024-08-09,Kaiserslautern,Greuther Furth,2.0,2.0,4.0,1,1,D,2.0 x 2.0
Primeira Liga,2024-08-09,Sp Lisbon,Rio Ave,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Jupiler League,2024-08-10,Dender,Kortrijk,4.0,1.0,5.0,1,1,H,4.0 x 1.0
Championship,2024-08-10,Dunfermline,Falkirk,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Eredivisie,2024-08-10,PSV Eindhoven,Waalwijk,5.0,1.0,6.0,1,1,H,5.0 x 1.0
Bundesliga 2,2024-08-10,Fortuna Dusseldorf,Karlsruhe,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Premiership,2024-08-10,Dundee,Hearts,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Premiership,2024-08-10,Ross County,Dundee United,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Premiership,2024-08-10,Rangers,Motherwell,2.0,1.0,3.0,1,1,H,2.0 x 1.0
Championship,2024-08-10,Raith Rvs,Partick,1.0,0.0,1.0,0,0,H,1.0 x 0.0
League One,2024-08-10,Annan Athletic,Inverness C,1.0,0.0,1.0,0,0,H,1.0 x 0.0
League One,2024-08-10,Arbroath,Montrose,0.0,0.0,0.0,0,0,D,0.0 x 0.0
League One,2024-08-10,Dumbarton,Alloa,3.0,3.0,6.0,1,1,D,3.0 x 3.0
League One,2024-08-10,Kelty Hearts,Stenhousemuir,2.0,0.0,2.0,0,0,H,2.0 x 0.0
League One,2024-08-10,Queen of Sth,Cove Rangers,2.0,1.0,3.0,1,1,H,2.0 x 1.0
Eredivisie,2024-08-10,Feyenoord,Willem II,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Eredivisie,2024-08-10,Nijmegen,Twente,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Eredivisie,2024-08-10,Almere City,AZ Alkmaar,0.0,1.0,1.0,0,0,A,0.0 x 1.0
Jupiler League,2024-08-10,Westerlo,St. Gilloise,4.0,3.0,7.0,1,1,H,4.0 x 3.0
Bundesliga 2,2024-08-10,Hamburg,Hertha,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Bundesliga 2,2024-08-10,Nurnberg,Schalke 04,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Bundesliga 2,2024-08-10,Elversberg,FC Koln,2.0,2.0,4.0,1,1,D,2.0 x 2.0
Jupiler League,2024-08-10,Anderlecht,Oud-Heverlee Leuven,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Championship,2024-08-10,Morton,Hamilton,0.0,0.0,0.0,0,0,D,0.0 x 0.0
EFL Championship,2024-08-10,Stoke,Coventry,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL League Two,2024-08-10,AFC Wimbledon,Colchester,4.0,2.0,6.0,1,1,H,4.0 x 2.0
EFL Championship,2024-08-10,QPR,West Brom,1.0,3.0,4.0,1,1,A,1.0 x 3.0
EFL League One,2024-08-10,Crawley Town,Blackpool,2.0,1.0,3.0,1,1,H,2.0 x 1.0
EFL League One,2024-08-10,Exeter,Rotherham,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Primeira Liga,2024-08-10,AVS,Nacional,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Primeira Liga,2024-08-10,Casa Pia,Boavista,0.0,1.0,1.0,0,0,A,0.0 x 1.0
EFL League One,2024-08-10,Leyton Orient,Bolton,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Primeira Liga,2024-08-10,Porto,Gil Vicente,3.0,0.0,3.0,0,1,H,3.0 x 0.0
EFL League One,2024-08-10,Peterboro,Huddersfield,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Super Lig,2024-08-10,Fenerbahce,Ad. Demirspor,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Super Lig,2024-08-10,Antalyaspor,Goztep,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Super Lig,2024-08-10,Kasimpasa,Konyaspor,2.0,3.0,5.0,1,1,A,2.0 x 3.0
EFL League One,2024-08-10,Birmingham,Reading,1.0,1.0,2.0,1,0,D,1.0 x 1.0
EFL League One,2024-08-10,Wrexham,Wycombe,3.0,2.0,5.0,1,1,H,3.0 x 2.0
EFL League One,2024-08-10,Wigan,Charlton,0.0,1.0,1.0,0,0,A,0.0 x 1.0
EFL League Two,2024-08-10,Barrow,Crewe,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL Championship,2024-08-10,Oxford,Norwich,2.0,0.0,2.0,0,0,H,2.0 x 0.0
EFL Championship,2024-08-10,Millwall,Watford,2.0,3.0,5.0,1,1,A,2.0 x 3.0
EFL Championship,2024-08-10,Middlesbrough,Swansea,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL League One,2024-08-10,Bristol Rvs,Northampton,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL League Two,2024-08-10,Walsall,Morecambe,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL League Two,2024-08-10,Tranmere,Notts County,0.0,0.0,0.0,0,0,D,0.0 x 0.0
EFL League Two,2024-08-10,Salford,Port Vale,0.0,2.0,2.0,0,0,A,0.0 x 2.0
EFL League One,2024-08-10,Burton,Lincoln,2.0,3.0,5.0,1,1,A,2.0 x 3.0
EFL League One,2024-08-10,Stockport,Cambridge,2.0,0.0,2.0,0,0,H,2.0 x 0.0
EFL Championship,2024-08-10,Hull,Bristol City,1.0,1.0,2.0,1,0,D,1.0 x 1.0
EFL Championship,2024-08-10,Cardiff,Sunderland,0.0,2.0,2.0,0,0,A,0.0 x 2.0
EFL League Two,2024-08-10,Milton Keynes Dons,Bradford,1.0,2.0,3.0,1,1,A,1.0 x 2.0
EFL League Two,2024-08-10,Harrogate,Bromley,0.0,2.0,2.0,0,0,A,0.0 x 2.0
EFL League Two,2024-08-10,Gillingham,Carlisle,4.0,1.0,5.0,1,1,H,4.0 x 1.0
EFL League Two,2024-08-10,Fleetwood Town,Grimsby,1.0,0.0,1.0,0,0,H,1.0 x 0.0
EFL League Two,2024-08-10,Doncaster,Accrington,4.0,1.0,5.0,1,1,H,4.0 x 1.0
EFL League Two,2024-08-10,Cheltenham,Newport County,3.0,2.0,5.0,1,1,H,3.0 x 2.0
EFL Championship,2024-08-10,Leeds,Portsmouth,3.0,3.0,6.0,1,1,D,3.0 x 3.0
EFL League One,2024-08-10,Stevenage,Shrewsbury,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Eredivisie,2024-08-11,Sparta Rotterdam,Heracles,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Jupiler League,2024-08-11,Genk,Club Brugge,3.0,2.0,5.0,1,1,H,3.0 x 2.0
Jupiler League,2024-08-11,Antwerp,St Truiden,6.0,1.0,7.0,1,1,H,6.0 x 1.0
Super Lig,2024-08-11,Alanyaspor,Eyupspor,1.0,1.0,2.0,1,0,D,1.0 x 1.0
EFL Championship,2024-08-11,Sheffield Weds,Plymouth,4.0,0.0,4.0,0,1,H,4.0 x 0.0
Eredivisie,2024-08-11,Utrecht,Zwolle,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Super Lig,2024-08-11,Samsunspor,Besiktas,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Premiership,2024-08-11,Hibernian,Celtic,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Premiership,2024-08-11,Aberdeen,St Mirren,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Premiership,2024-08-11,Kilmarnock,St Johnstone,0.0,3.0,3.0,0,1,A,0.0 x 3.0
Super Lig,2024-08-11,Sivasspor,Trabzonspor,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Eredivisie,2024-08-11,Ajax,Heerenveen,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Eredivisie,2024-08-11,Go Ahead Eagles,For Sittard,0.0,2.0,2.0,0,0,A,0.0 x 2.0
Primeira Liga,2024-08-11,Sp Braga,Estrela,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Primeira Liga,2024-08-11,Famalicao,Benfica,2.0,0.0,2.0,0,0,H,2.0 x 0.0
Bundesliga 2,2024-08-11,Preußen Münster,Hannover,0.0,0.0,0.0,0,0,D,0.0 x 0.0
Bundesliga 2,2024-08-11,Paderborn,Darmstadt,3.0,1.0,4.0,1,1,H,3.0 x 1.0
Bundesliga 2,2024-08-11,Braunschweig,Magdeburg,1.0,3.0,4.0,1,1,A,1.0 x 3.0
Jupiler League,2024-08-11,Charleroi,Gent,1.0,0.0,1.0,0,0,H,1.0 x 0.0
Jupiler League,2024-08-11,Cercle Brugge,Beerschot VA,4.0,1.0,5.0,1,1,H,4.0 x 1.0
Primeira Liga,2024-08-11,Farense,Moreirense,1.0,2.0,3.0,1,1,A,1.0 x 2.0
Primeira Liga,2024-08-11,Estoril,Santa Clara,1.0,4.0,5.0,1,1,A,1.0 x 4.0
Super Lig,2024-08-12,Rizespor,Buyuksehyr,1.0,1.0,2.0,1,0,D,1.0 x 1.0
Primeira Liga,2024-08-12,Arouca,Guimaraes,0.0,1.0,1.0,0,0,A,0.0 x 1.0
Super Lig,2024-08-12,Bodrumspor,Gaziantep,0.0,1.0,1.0,0,0,A,0.0 x 1.0
EFL Championship,2024-08-12,Luton,Burnley,1.0,4.0,5.0,1,1,A,1.0 x 4.0
LaLiga,2024-08-15,Ath Bilbao,Getafe,1.0,1.0,2.0,1,0,D,1.0 x 1.0
LaLiga,2024-08-15,Betis,Girona,1.0,1.0,2.0,1,0,D,1.0 x 1.0
LaLiga 2,2024-08-15,Granada,Albacete,1.0,2.0,3.0,1,1,A,1.0 x 2.0
